fund_name,filing_date,quarter,stock_symbol,cl,value_($000),shares,change,pct_change,inferred_transaction_type
1623 Capital LLC,5/1/2020,Q4 2019,AAPL,,"4,343","14,791",14791,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,BR,,"4,272","34,580",34580,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,AMT,,"4,262","18,544",18544,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,INTC,,"4,255","71,093",71093,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,AMZN,,"4,224","2,286",2286,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,SCHW,,"4,219","88,711",88711,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,PAYC,,"4,199","15,860",15860,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,EQIX,,"4,175","7,152",7152,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,MCO,,"4,103","17,284",17284,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,V,,"4,051","21,558",21558,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,NOW,,"4,030","14,275",14275,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,AXP,,"4,013","32,233",32233,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,DG,,"3,666","23,500",23500,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,ADBE,,"3,540","10,734",10734,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,CME,,"3,256","16,223",16223,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,VEEV,,"3,234","22,995",22995,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,ORCL,,"3,211","60,605",60605,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,NVR,,"2,255",592,592,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,ZS,,"1,930","41,500",41500,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,VRSK,,"1,921","12,864",12864,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,SBUX,,"1,666","18,949",18949,,BUY
1623 Capital LLC,5/1/2020,Q4 2019,TTD,,"1,405","5,407",5407,,BUY
1623 Capital LLC,5/13/2020,Q1 2020,ORCL,,"3,211","60,605",-60605,-100.0,SELL
1623 Capital LLC,5/13/2020,Q1 2020,VEEV,,"5,341","34,157",11162,48.54098717112416,BUY
1623 Capital LLC,5/13/2020,Q1 2020,EQIX,,"5,295","8,478",1326,18.540268456375838,BUY
1623 Capital LLC,5/13/2020,Q1 2020,AMT,,"4,782","21,963",3419,18.43723037100949,BUY
1623 Capital LLC,5/13/2020,Q1 2020,AMZN,,"4,759","2,441",155,6.7804024496937885,BUY
1623 Capital LLC,5/13/2020,Q1 2020,INTC,,"4,326","79,928",8835,12.427383849324125,BUY
1623 Capital LLC,5/13/2020,Q1 2020,DG,,"4,252","28,157",4657,19.817021276595746,BUY
1623 Capital LLC,5/13/2020,Q1 2020,NOW,,"4,235","14,776",501,3.5096322241681257,BUY
1623 Capital LLC,5/13/2020,Q1 2020,BR,,"4,163","43,900",9320,26.951995373048003,BUY
1623 Capital LLC,5/13/2020,Q1 2020,V,,"4,014","24,912",3354,15.558029501809074,BUY
1623 Capital LLC,5/13/2020,Q1 2020,AAPL,,"3,880","15,258",467,3.1573254005814344,BUY
1623 Capital LLC,5/13/2020,Q1 2020,MCO,,"3,767","17,809",525,3.037491321453367,BUY
1623 Capital LLC,5/13/2020,Q1 2020,ADBE,,"3,416","10,734",0,0.0,HOLD
1623 Capital LLC,5/13/2020,Q1 2020,SCHW,,"3,385","100,687",11976,13.500016908838813,BUY
1623 Capital LLC,5/13/2020,Q1 2020,AXP,,"3,298","38,524",6291,19.51726491483883,BUY
1623 Capital LLC,5/13/2020,Q1 2020,CME,,"3,283","18,986",2763,17.03137520803797,BUY
1623 Capital LLC,5/13/2020,Q1 2020,PAYC,,"3,264","16,160",300,1.8915510718789406,BUY
1623 Capital LLC,5/13/2020,Q1 2020,ZS,,"2,556","42,000",500,1.2048192771084338,BUY
1623 Capital LLC,5/13/2020,Q1 2020,NVR,,"2,166",843,251,42.39864864864865,BUY
1623 Capital LLC,5/13/2020,Q1 2020,VRSK,,"1,991","14,285",1421,11.046330845771145,BUY
1623 Capital LLC,5/13/2020,Q1 2020,SBUX,,"1,246","18,949",0,0.0,HOLD
1623 Capital LLC,5/13/2020,Q1 2020,TTD,,"1,044","5,407",0,0.0,HOLD
1623 Capital LLC,5/13/2020,Q1 2020,AYX,,"1,044","10,965",10965,,BUY
1623 Capital LLC,8/11/2020,Q2 2020,VEEV,,"8,007","34,157",0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,AMZN,,"6,734","2,441",0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,NOW,,"6,148","15,178",402,2.7206280454791556,BUY
1623 Capital LLC,8/11/2020,Q2 2020,EQIX,,"5,954","8,478",0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,BR,,"5,929","46,987",3087,7.031890660592255,BUY
1623 Capital LLC,8/11/2020,Q2 2020,DG,,"5,715","30,000",1843,6.54544163085556,BUY
1623 Capital LLC,8/11/2020,Q2 2020,AMT,,"5,678","21,963",0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,AAPL,,"5,566","15,258",0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,PAYC,,"5,005","16,160",0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,MCO,,"4,893","17,809",0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,V,,"4,812","24,912",0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,INTC,,"4,782","79,928",0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,ADBE,,"4,673","10,734",0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,ZS,,"4,599","42,000",0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,CME,,"4,113","25,306",6320,33.28768566312019,BUY
1623 Capital LLC,8/11/2020,Q2 2020,AXP,,"3,943","41,420",2896,7.5173917557886,BUY
1623 Capital LLC,8/11/2020,Q2 2020,SCHW,,"3,543","105,000",4313,4.283571861312781,BUY
1623 Capital LLC,8/11/2020,Q2 2020,NVR,,"2,747",843,0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,VRSK,,"2,437","14,321",36,0.2520126006300315,BUY
1623 Capital LLC,8/11/2020,Q2 2020,TTD,,"2,198","5,407",0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,AYX,,"2,030","12,359",1394,12.713178294573643,BUY
1623 Capital LLC,8/11/2020,Q2 2020,MTN,,"1,591","8,733",8733,,BUY
1623 Capital LLC,8/11/2020,Q2 2020,SBUX,,"1,394","18,949",0,0.0,HOLD
1623 Capital LLC,8/11/2020,Q2 2020,MELI,,902,915,915,,BUY
1623 Capital LLC,11/3/2020,Q3 2020,AYX,,"2,030","12,359",-12359,-100.0,SELL
1623 Capital LLC,11/3/2020,Q3 2020,VEEV,,"9,605","34,157",0,0.0,HOLD
1623 Capital LLC,11/3/2020,Q3 2020,DG,,"9,223","44,000",14000,46.666666666666664,BUY
1623 Capital LLC,11/3/2020,Q3 2020,AMZN,,"8,816","2,800",359,14.707087259319952,BUY
