fund_name,filing_date,quarter,stock_symbol,cl,value_($000),shares,change,pct_change,inferred_transaction_type
2Xideas AG,2/16/2021,Q4 2020,ICE,,"73,080","633,882",633882,,BUY
2Xideas AG,2/16/2021,Q4 2020,ANSS,,"66,892","183,870",183870,,BUY
2Xideas AG,2/16/2021,Q4 2020,RMD,,"65,863","309,856",309856,,BUY
2Xideas AG,2/16/2021,Q4 2020,PKI,,"28,556","198,994",198994,,BUY
2Xideas AG,2/16/2021,Q4 2020,FTNT,,"27,890","187,771",187771,,BUY
2Xideas AG,2/16/2021,Q4 2020,IQV,,"25,827","144,146",144146,,BUY
2Xideas AG,2/16/2021,Q4 2020,MSCI,,"24,368","54,572",54572,,BUY
2Xideas AG,2/16/2021,Q4 2020,VRSN,,"24,326","112,412",112412,,BUY
2Xideas AG,2/16/2021,Q4 2020,MKL,,"23,540","22,781",22781,,BUY
2Xideas AG,2/16/2021,Q4 2020,FAST,,"22,804","467,002",467002,,BUY
2Xideas AG,2/16/2021,Q4 2020,ULTA,,"7,347","25,585",25585,,BUY
2Xideas AG,2/16/2021,Q4 2020,KMX,,"7,337","77,670",77670,,BUY
2Xideas AG,2/16/2021,Q4 2020,MCO,,"7,336","25,275",25275,,BUY
2Xideas AG,2/16/2021,Q4 2020,ALGN,,"7,319","13,697",13697,,BUY
2Xideas AG,2/16/2021,Q4 2020,TYL,,"7,309","16,743",16743,,BUY
2Xideas AG,2/16/2021,Q4 2020,EW,,"7,309","80,116",80116,,BUY
2Xideas AG,2/16/2021,Q4 2020,VRTX,,"7,294","30,864",30864,,BUY
2Xideas AG,2/16/2021,Q4 2020,MKTX,,"7,287","12,772",12772,,BUY
2Xideas AG,2/16/2021,Q4 2020,POOL,,"7,283","19,553",19553,,BUY
2Xideas AG,2/16/2021,Q4 2020,FDS,,"7,271","21,869",21869,,BUY
2Xideas AG,2/16/2021,Q4 2020,PAYX,,"7,263","77,942",77942,,BUY
2Xideas AG,2/16/2021,Q4 2020,WAB,,"7,261","99,194",99194,,BUY
2Xideas AG,2/16/2021,Q4 2020,SCI,,"7,261","147,892",147892,,BUY
2Xideas AG,2/16/2021,Q4 2020,MKC,,"7,261","75,948",75948,,BUY
2Xideas AG,2/16/2021,Q4 2020,ABMD,,"7,258","22,386",22386,,BUY
2Xideas AG,2/16/2021,Q4 2020,IT,,"7,256","45,295",45295,,BUY
2Xideas AG,2/16/2021,Q4 2020,A,,"7,249","61,177",61177,,BUY
2Xideas AG,2/16/2021,Q4 2020,VRSK,,"7,245","34,899",34899,,BUY
2Xideas AG,2/16/2021,Q4 2020,CTLT,,"7,243","69,596",69596,,BUY
2Xideas AG,2/16/2021,Q4 2020,EA,,"7,242","50,429",50429,,BUY
2Xideas AG,2/16/2021,Q4 2020,STNE,,"7,240","86,276",86276,,BUY
2Xideas AG,2/16/2021,Q4 2020,TRMB,,"7,229","108,271",108271,,BUY
2Xideas AG,2/16/2021,Q4 2020,ENTG,,"7,226","75,188",75188,,BUY
2Xideas AG,2/16/2021,Q4 2020,TRU,,"7,224","72,806",72806,,BUY
2Xideas AG,2/16/2021,Q4 2020,SPGI,,"7,224","21,975",21975,,BUY
2Xideas AG,2/16/2021,Q4 2020,CLX,,"7,213","35,722",35722,,BUY
2Xideas AG,2/16/2021,Q4 2020,SWKS,,"7,212","47,174",47174,,BUY
2Xideas AG,2/16/2021,Q4 2020,MASI,,"7,205","26,845",26845,,BUY
2Xideas AG,2/16/2021,Q4 2020,GGG,,"7,196","99,455",99455,,BUY
2Xideas AG,2/16/2021,Q4 2020,INTU,,"7,193","18,937",18937,,BUY
2Xideas AG,2/16/2021,Q4 2020,AXP,,"7,191","59,478",59478,,BUY
2Xideas AG,2/16/2021,Q4 2020,DLB,,"7,185","73,976",73976,,BUY
2Xideas AG,2/16/2021,Q4 2020,CAE.TO,,"7,181","259,975",259975,,BUY
2Xideas AG,5/14/2021,Q1 2021,VRTX,,"7,294","30,864",-30864,-100.0,SELL
2Xideas AG,5/14/2021,Q1 2021,MKTX,,"7,287","12,772",-12772,-100.0,SELL
2Xideas AG,5/14/2021,Q1 2021,POOL,,"7,283","19,553",-19553,-100.0,SELL
2Xideas AG,5/14/2021,Q1 2021,FDS,,"7,271","21,869",-21869,-100.0,SELL
2Xideas AG,5/14/2021,Q1 2021,MKC,,"7,261","75,948",-75948,-100.0,SELL
2Xideas AG,5/14/2021,Q1 2021,VRSK,,"7,245","34,899",-34899,-100.0,SELL
2Xideas AG,5/14/2021,Q1 2021,EA,,"7,242","50,429",-50429,-100.0,SELL
2Xideas AG,5/14/2021,Q1 2021,STNE,,"7,240","86,276",-86276,-100.0,SELL
2Xideas AG,5/14/2021,Q1 2021,TRU,,"7,224","72,806",-72806,-100.0,SELL
2Xideas AG,5/14/2021,Q1 2021,MASI,,"7,205","26,845",-26845,-100.0,SELL
2Xideas AG,5/14/2021,Q1 2021,ICE,,"71,859","643,439",9557,1.507693861002521,BUY
2Xideas AG,5/14/2021,Q1 2021,ANSS,,"63,422","186,777",2907,1.581008321096427,BUY
2Xideas AG,5/14/2021,Q1 2021,RMD,,"61,519","317,074",7218,2.329469172777032,BUY
2Xideas AG,5/14/2021,Q1 2021,FTNT,,"36,926","200,229",12458,6.6346773463420865,BUY
2Xideas AG,5/14/2021,Q1 2021,IQV,,"29,806","154,321",10175,7.05881536775214,BUY
2Xideas AG,5/14/2021,Q1 2021,MKL,,"27,852","24,440",1659,7.282384443176332,BUY
2Xideas AG,5/14/2021,Q1 2021,PKI,,"27,485","214,243",15249,7.6630451169382,BUY
2Xideas AG,5/14/2021,Q1 2021,FAST,,"25,408","505,334",38332,8.208101892497249,BUY
2Xideas AG,5/14/2021,Q1 2021,MSCI,,"24,471","58,364",3792,6.948618339074983,BUY
2Xideas AG,5/14/2021,Q1 2021,VRSN,,"23,976","120,628",8216,7.308828238978045,BUY
2Xideas AG,5/14/2021,Q1 2021,KMX,,"11,585","87,328",9658,12.434659456675679,BUY
2Xideas AG,5/14/2021,Q1 2021,SWKS,,"10,251","55,870",8696,18.43388307118328,BUY
2Xideas AG,5/14/2021,Q1 2021,AXP,,"9,998","70,685",11207,18.84226100406873,BUY
2Xideas AG,5/14/2021,Q1 2021,TRMB,,"9,933","127,686",19415,17.931856175707253,BUY
2Xideas AG,5/14/2021,Q1 2021,ENTG,,"9,924","88,762",13574,18.05341277863489,BUY
2Xideas AG,5/14/2021,Q1 2021,WSO,,"9,865","37,834",37834,,BUY
2Xideas AG,5/14/2021,Q1 2021,LYV,,"9,822","116,027",116027,,BUY
2Xideas AG,5/14/2021,Q1 2021,IT,,"9,715","53,221",7926,17.498620156750196,BUY
2Xideas AG,5/14/2021,Q1 2021,AZPN,,"9,447","65,454",65454,,BUY
2Xideas AG,5/14/2021,Q1 2021,WAB,,"9,229","116,590",17396,17.537351049458636,BUY
2Xideas AG,5/14/2021,Q1 2021,ULTA,,"9,179","29,690",4105,16.044557357826854,BUY
2Xideas AG,5/14/2021,Q1 2021,SPGI,,"9,167","25,978",4003,18.216154721274176,BUY
2Xideas AG,5/14/2021,Q1 2021,A,,"9,159","72,036",10859,17.75013485460222,BUY
2Xideas AG,5/14/2021,Q1 2021,BKNG,,"8,916","3,827",3827,,BUY
2Xideas AG,5/14/2021,Q1 2021,SCI,,"8,891","174,169",26277,17.76769534525194,BUY
2Xideas AG,5/14/2021,Q1 2021,OLED,,"8,789","37,122",37122,,BUY
2Xideas AG,5/14/2021,Q1 2021,MCO,,"8,785","29,419",4144,16.39564787339268,BUY
2Xideas AG,5/14/2021,Q1 2021,CAE.TO,,"8,772","307,875",47900,18.424848543129148,BUY
2Xideas AG,5/14/2021,Q1 2021,SBUX,,"8,734","79,931",79931,,BUY
2Xideas AG,5/14/2021,Q1 2021,DLB,,"8,680","87,921",13945,18.8507083378393,BUY
2Xideas AG,5/14/2021,Q1 2021,ABMD,,"8,654","27,152",4766,21.29009202179934,BUY
2Xideas AG,5/14/2021,Q1 2021,MTD,,"8,643","7,479",7479,,BUY
2Xideas AG,5/14/2021,Q1 2021,ALGN,,"8,640","15,955",2258,16.48536175804921,BUY
2Xideas AG,5/14/2021,Q1 2021,CTLT,,"8,627","81,921",12325,17.709351112132882,BUY
2Xideas AG,5/14/2021,Q1 2021,INTU,,"8,607","22,470",3533,18.65659819401172,BUY
2Xideas AG,5/14/2021,Q1 2021,GGG,,"8,454","118,046",18591,18.692876175154595,BUY
2Xideas AG,5/14/2021,Q1 2021,TMO,,"8,356","18,310",18310,,BUY
2Xideas AG,5/14/2021,Q1 2021,PAYX,,"8,338","85,061",7119,9.133714813579328,BUY
2Xideas AG,5/14/2021,Q1 2021,TYL,,"8,291","19,530",2787,16.64576240817058,BUY
2Xideas AG,5/14/2021,Q1 2021,DPZ,,"8,193","22,275",22275,,BUY
2Xideas AG,5/14/2021,Q1 2021,CLX,,"8,174","42,380",6658,18.638374111191983,BUY
2Xideas AG,5/14/2021,Q1 2021,EW,,"8,123","97,123",17007,21.227969444305756,BUY
2Xideas AG,5/14/2021,Q1 2021,ISRG,,"8,063","10,911",10911,,BUY
2Xideas AG,5/14/2021,Q1 2021,RACE,,"8,046","38,445",38445,,BUY
2Xideas AG,8/16/2021,Q2 2021,KMX,,"11,585","87,328",-87328,-100.0,SELL
2Xideas AG,8/16/2021,Q2 2021,AZPN,,"9,447","65,454",-65454,-100.0,SELL
2Xideas AG,8/16/2021,Q2 2021,BKNG,,"8,916","3,827",-3827,-100.0,SELL
2Xideas AG,8/16/2021,Q2 2021,OLED,,"8,789","37,122",-37122,-100.0,SELL
2Xideas AG,8/16/2021,Q2 2021,DLB,,"8,680","87,921",-87921,-100.0,SELL
2Xideas AG,8/16/2021,Q2 2021,ABMD,,"8,654","27,152",-27152,-100.0,SELL
2Xideas AG,8/16/2021,Q2 2021,PAYX,,"8,338","85,061",-85061,-100.0,SELL
2Xideas AG,8/16/2021,Q2 2021,CLX,,"8,174","42,380",-42380,-100.0,SELL
2Xideas AG,8/16/2021,Q2 2021,RACE,,"8,046","38,445",-38445,-100.0,SELL
2Xideas AG,8/16/2021,Q2 2021,RMD,,"98,161","398,187",81113,25.581725401641258,BUY
2Xideas AG,8/16/2021,Q2 2021,ICE,,"84,041","708,015",64576,10.036071795461575,BUY
2Xideas AG,8/16/2021,Q2 2021,ANSS,,"75,152","216,539",29762,15.93451013775786,BUY
2Xideas AG,8/16/2021,Q2 2021,FTNT,,"46,094","193,517",-6712,-3.352161774767891,SELL
2Xideas AG,8/16/2021,Q2 2021,IQV,,"38,071","157,111",2790,1.8079198553664115,BUY
2Xideas AG,8/16/2021,Q2 2021,PKI,,"35,185","227,866",13623,6.358667494387214,BUY
2Xideas AG,8/16/2021,Q2 2021,MSCI,,"33,168","62,220",3856,6.606812418614215,BUY
2Xideas AG,8/16/2021,Q2 2021,STNE,,"31,685","472,489",472489,,BUY
2Xideas AG,8/16/2021,Q2 2021,VRSN,,"29,507","129,593",8965,7.431939516530159,BUY
2Xideas AG,8/16/2021,Q2 2021,MKL,,"29,354","24,736",296,1.2111292962356792,BUY
2Xideas AG,8/16/2021,Q2 2021,FAST,,"27,219","523,439",18105,3.582778914539691,BUY
2Xideas AG,8/16/2021,Q2 2021,POOL,,"12,224","26,651",26651,,BUY
2Xideas AG,8/16/2021,Q2 2021,IT,,"12,192","50,337",-2884,-5.418913586742075,SELL
2Xideas AG,8/16/2021,Q2 2021,INTU,,"11,769","24,011",1541,6.858032932799288,BUY
2Xideas AG,8/16/2021,Q2 2021,DPZ,,"11,671","25,019",2744,12.318742985409651,BUY
2Xideas AG,8/16/2021,Q2 2021,ISRG,,"11,436","12,435",1524,13.967555677756394,BUY
2Xideas AG,8/16/2021,Q2 2021,EW,,"11,379","109,864",12741,13.118416852856688,BUY
2Xideas AG,8/16/2021,Q2 2021,TRU,,"11,219","102,163",102163,,BUY
2Xideas AG,8/16/2021,Q2 2021,MCO,,"11,166","30,814",1395,4.7418335089567965,BUY
2Xideas AG,8/16/2021,Q2 2021,,,"11,143","68,868",68868,,BUY
2Xideas AG,8/16/2021,Q2 2021,MTD,,"11,012","7,949",470,6.284262601952133,BUY
2Xideas AG,8/16/2021,Q2 2021,MTCH,,"10,786","66,887",66887,,BUY
2Xideas AG,8/16/2021,Q2 2021,AXP,,"10,735","64,968",-5717,-8.087996038763528,SELL
2Xideas AG,8/16/2021,Q2 2021,SPGI,,"10,704","26,079",101,0.38879051505119716,BUY
2Xideas AG,8/16/2021,Q2 2021,A,,"10,694","72,350",314,0.4358931645288467,BUY
2Xideas AG,8/16/2021,Q2 2021,ALGN,,"10,368","16,969",1014,6.355374490755248,BUY
2Xideas AG,8/16/2021,Q2 2021,ULTA,,"10,276","29,720",30,0.10104412260020208,BUY
2Xideas AG,8/16/2021,Q2 2021,TMO,,"10,161","20,142",1832,10.005461496450026,BUY
2Xideas AG,8/16/2021,Q2 2021,WSO,,"10,151","35,414",-2420,-6.396363059681767,SELL
2Xideas AG,8/16/2021,Q2 2021,ENTG,,"10,112","82,232",-6530,-7.356751763141885,SELL
2Xideas AG,8/16/2021,Q2 2021,FDS,,"10,011","29,830",29830,,BUY
2Xideas AG,8/16/2021,Q2 2021,CAE.TO,,"9,945","322,475",14600,4.742184328055217,BUY
2Xideas AG,8/16/2021,Q2 2021,EA,,"9,812","68,218",68218,,BUY
2Xideas AG,8/16/2021,Q2 2021,TYL,,"9,792","21,645",2115,10.829493087557603,BUY
2Xideas AG,8/16/2021,Q2 2021,GGG,,"9,790","129,323",11277,9.553055588499399,BUY
2Xideas AG,8/16/2021,Q2 2021,SWKS,,"9,773","50,967",-4903,-8.775729371755862,SELL
2Xideas AG,8/16/2021,Q2 2021,MELI,,"9,722","6,241",6241,,BUY
2Xideas AG,8/16/2021,Q2 2021,TRMB,,"9,721","118,799",-8887,-6.960042604514199,SELL
2Xideas AG,8/16/2021,Q2 2021,SCI,,"9,721","181,389",7220,4.145399009008491,BUY
2Xideas AG,8/16/2021,Q2 2021,MASI,,"9,701","40,011",40011,,BUY
2Xideas AG,8/16/2021,Q2 2021,WAB,,"9,630","117,012",422,0.36195213997769965,BUY
2Xideas AG,8/16/2021,Q2 2021,LYV,,"9,508","108,554",-7473,-6.4407422410301045,SELL
2Xideas AG,8/16/2021,Q2 2021,SBUX,,"9,505","85,014",5083,6.359234840049542,BUY
2Xideas AG,8/16/2021,Q2 2021,CTLT,,"9,499","87,858",5937,7.247225986010913,BUY
2Xideas AG,11/15/2021,Q3 2021,POOL,,"12,224","26,651",-26651,-100.0,SELL
2Xideas AG,11/15/2021,Q3 2021,MTCH,,"10,786","66,887",-66887,-100.0,SELL
2Xideas AG,11/15/2021,Q3 2021,SPGI,,"10,704","26,079",-26079,-100.0,SELL
2Xideas AG,11/15/2021,Q3 2021,WSO,,"10,151","35,414",-35414,-100.0,SELL
2Xideas AG,11/15/2021,Q3 2021,CAE.TO,,"9,945","322,475",-322475,-100.0,SELL
2Xideas AG,11/15/2021,Q3 2021,GGG,,"9,790","129,323",-129323,-100.0,SELL
2Xideas AG,11/15/2021,Q3 2021,SWKS,,"9,773","50,967",-50967,-100.0,SELL
2Xideas AG,11/15/2021,Q3 2021,RMD,,"105,378","399,840",1653,0.4151315839040451,BUY
2Xideas AG,11/15/2021,Q3 2021,IQV,,"91,019","379,974",222863,141.85066608957996,BUY
2Xideas AG,11/15/2021,Q3 2021,ICE,,"84,550","736,371",28356,4.004999894070041,BUY
2Xideas AG,11/15/2021,Q3 2021,ANSS,,"77,996","229,096",12557,5.7989553844803945,BUY
2Xideas AG,11/15/2021,Q3 2021,FTNT,,"44,177","151,269",-42248,-21.831673703085517,SELL
2Xideas AG,11/15/2021,Q3 2021,PKI,,"42,497","245,234",17368,7.622023469934085,BUY
2Xideas AG,11/15/2021,Q3 2021,MSCI,,"40,433","66,464",4244,6.820957891353263,BUY
2Xideas AG,11/15/2021,Q3 2021,MKL,,"34,654","28,996",4260,17.221862871927556,BUY
2Xideas AG,11/15/2021,Q3 2021,FAST,,"32,919","637,832",114393,21.85412244788791,BUY
2Xideas AG,11/15/2021,Q3 2021,VRSN,,"30,719","149,841",20248,15.624300695253602,BUY
2Xideas AG,11/15/2021,Q3 2021,STNE,,"19,166","552,030",79541,16.834465987567963,BUY
2Xideas AG,11/15/2021,Q3 2021,IT,,"13,921","45,811",-4526,-8.991397977630768,SELL
2Xideas AG,11/15/2021,Q3 2021,CTLT,,"13,657","102,627",14769,16.810079901659496,BUY
2Xideas AG,11/15/2021,Q3 2021,GSHD,,"13,401","87,996",87996,,BUY
2Xideas AG,11/15/2021,Q3 2021,FDS,,"13,072","33,112",3282,11.002346630908482,BUY
2Xideas AG,11/15/2021,Q3 2021,VRSK,,"12,731","63,569",63569,,BUY
2Xideas AG,11/15/2021,Q3 2021,TMO,,"12,570","22,002",1860,9.234435507893952,BUY
2Xideas AG,11/15/2021,Q3 2021,SCI,,"12,509","207,589",26200,14.444095286924785,BUY
2Xideas AG,11/15/2021,Q3 2021,MASI,,"12,389","45,764",5753,14.378545899877535,BUY
2Xideas AG,11/15/2021,Q3 2021,INTU,,"12,223","22,656",-1355,-5.643246845195952,SELL
2Xideas AG,11/15/2021,Q3 2021,EW,,"12,129","107,134",-2730,-2.4848904099614066,SELL
2Xideas AG,11/15/2021,Q3 2021,ALGN,,"12,084","18,160",1191,7.018681124403324,BUY
2Xideas AG,11/15/2021,Q3 2021,BKNG,,"12,038","5,071",5071,,BUY
2Xideas AG,11/15/2021,Q3 2021,ISRG,,"11,993","12,064",-371,-2.9835142742259753,SELL
2Xideas AG,11/15/2021,Q3 2021,,,"11,986","68,579",-289,-0.41964337573328686,SELL
2Xideas AG,11/15/2021,Q3 2021,MELI,,"11,964","7,124",883,14.148373658067618,BUY
2Xideas AG,11/15/2021,Q3 2021,A,,"11,837","75,139",2789,3.854872149274361,BUY
2Xideas AG,11/15/2021,Q3 2021,WAB,,"11,634","134,951",17939,15.330906231839469,BUY
2Xideas AG,11/15/2021,Q3 2021,ULTA,,"11,583","32,092",2372,7.981157469717362,BUY
