fund_name,filing_date,quarter,stock_symbol,cl,value_($000),shares,change,pct_change,inferred_transaction_type
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,JPM,,"7,142","117,645",117645,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,VZ,,"6,802","142,994",142994,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,MSFT,,"6,763","164,988",164988,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,PFE,,"5,953","185,333",185333,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,JNJ,,"5,744","58,480",58480,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,JCI,,"5,715","120,781",120781,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,AAPL,,"5,709","10,637",10637,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,PEP,,"5,697","68,228",68228,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,WFC,,"5,481","110,200",110200,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,CMI,,"5,295","35,542",35542,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,BA,,"5,100","40,641",40641,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,EMR,,"4,756","71,191",71191,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,TGT,,"4,630","76,515",76515,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,BLK,,"4,590","14,596",14596,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,SLB,,"4,488","46,035",46035,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,MCHP,,"4,304","90,121",90121,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,PM,,"4,251","51,927",51927,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,MO,,"4,181","111,705",111705,,BUY
1834 INVESTMENT ADVISORS CO,4/28/2014,Q1 2014,COP,,"4,171","59,286",59286,,BUY
