fund_name,filing_date,quarter,stock_symbol,cl,value_($000),shares,change,pct_change,inferred_transaction_type
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,VZ,,"28,278","575,464",575464,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,GE,,"12,101","431,717",431717,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,SLB,,"10,606","117,701",117701,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,IBM,,"9,224","49,180",49180,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,PEP,,"9,191","110,823",110823,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,DD,,"9,177","141,260",141260,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,JNJ,,"9,068","99,015",99015,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,EPD,,"9,009","135,891",135891,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,SE,,"8,784","246,610",246610,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,BA,,"8,448","61,895",61895,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,IP,,"8,430","171,953",171953,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,PG,,"8,361","102,713",102713,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,WY,,"8,260","261,644",261644,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,CSCO,,"7,941","354,074",354074,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,BAX,,"7,630","109,713",109713,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,JCI,,"7,491","146,032",146032,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,WPM,,"4,647","230,175",230175,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,KEY,,"4,015","299,193",299193,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,,,"3,933","884,016",884016,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,NEE,,"3,816","44,580",44580,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,PGHEF,,"3,678","593,323",593323,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,ABX.TO,,"3,244","184,050",184050,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,NEM,,"2,857","124,086",124086,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,KO,,"2,340","56,645",56645,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,TRP,,"2,213","48,478",48478,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,AMGN,,"2,143","18,789",18789,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,MSFT,,"2,113","56,503",56503,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,JPM,,"2,064","35,305",35305,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,DE,,"1,944","21,295",21295,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,WM,,"1,852","41,282",41282,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,APD,,"1,788","16,002",16002,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,POT,,"1,758","53,345",53345,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,INTC,,"1,533","59,101",59101,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,BLK,,"1,519","4,800",4800,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,PNC,,"1,367","17,626",17626,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,MRK,,"1,342","26,827",26827,,BUY
"10-15 ASSOCIATES, INC.",2/12/2014,Q4 2013,CAT,,"1,185","13,054",13054,,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,VZ,,"27,886","586,217",10753,1.8685790944350993,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,GE,,"11,693","451,669",19952,4.621546059108166,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,SLB,,"11,515","118,109",408,0.34664106507166464,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,PEP,,"9,752","116,793",5970,5.386968409084757,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,JNJ,,"9,711","98,864",-151,-0.15250214613947383,SELL
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,IBM,,"9,544","49,582",402,0.8174054493696625,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,DD,,"9,455","140,915",-345,-0.2442304969559677,SELL
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,EPD,,"9,358","134,922",-969,-0.7130715058392388,SELL
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,PG,,"9,135","113,344",10631,10.350199098458813,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,SE,,"9,080","245,809",-801,-0.3248043469445684,SELL
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,IP,,"8,481","184,856",12903,7.503794641559031,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,BAX,,"8,054","109,469",-244,-0.22239843956504698,SELL
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,CSCO,,"8,020","357,807",3733,1.054299383744641,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,BA,,"7,721","61,527",-368,-0.5945552952580984,SELL
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,WY,,"7,720","263,052",1408,0.5381357875586675,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,COP,,"7,671","109,049",109049,,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,JCI,,"7,502","158,537",12505,8.56319162923195,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,KO,,"5,347","138,320",81675,144.18748344955424,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,WPM,,"5,246","231,115",940,0.4083849245139568,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,KEY,,"4,255","298,812",-381,-0.12734255146343665,SELL
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,,,"4,240","879,774",-4242,-0.4798555682250095,SELL
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,NEE,,"4,159","43,501",-1079,-2.420367877972185,SELL
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,CVX,,"3,714","31,241",31241,,BUY
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,PGHEF,,"3,596","591,498",-1825,-0.307589626560912,SELL
"10-15 ASSOCIATES, INC.",5/6/2014,Q1 2014,ABX.TO,,"3,271","183,495",-555,-0.3015484922575387,SELL
