fund_name,filing_date,quarter,stock_symbol,cl,value_($000),shares,change,pct_change,inferred_transaction_type
"20/20 Capital Management, Inc.",2/10/2020,Q4 2019,AAPL,,"3,906","12,011",12011,,BUY
"20/20 Capital Management, Inc.",2/10/2020,Q4 2019,NAC,,"3,740","242,552",242552,,BUY
"20/20 Capital Management, Inc.",2/10/2020,Q4 2019,AMZN,,"2,099","1,024",1024,,BUY
"20/20 Capital Management, Inc.",2/10/2020,Q4 2019,VOX,,"1,462","14,947",14947,,BUY
"20/20 Capital Management, Inc.",2/10/2020,Q4 2019,PEP,,"1,341","9,290",9290,,BUY
"20/20 Capital Management, Inc.",2/10/2020,Q4 2019,ARCC,,"1,223","63,984",63984,,BUY
"20/20 Capital Management, Inc.",2/10/2020,Q4 2019,MPW,,"1,089","47,550",47550,,BUY
"20/20 Capital Management, Inc.",2/10/2020,Q4 2019,JPI,,"1,054","40,168",40168,,BUY
"20/20 Capital Management, Inc.",5/8/2020,Q1 2020,ARCC,,"1,223","63,984",-63984,-100.0,SELL
"20/20 Capital Management, Inc.",5/8/2020,Q1 2020,MPW,,"1,089","47,550",-47550,-100.0,SELL
"20/20 Capital Management, Inc.",5/8/2020,Q1 2020,JPI,,"1,054","40,168",-40168,-100.0,SELL
"20/20 Capital Management, Inc.",5/8/2020,Q1 2020,AAPL,,"3,723","12,258",247,2.0564482557655483,BUY
"20/20 Capital Management, Inc.",5/8/2020,Q1 2020,NAC,,"3,286","236,728",-5824,-2.4011346020647117,SELL
"20/20 Capital Management, Inc.",5/8/2020,Q1 2020,AMZN,,"2,313",977,-47,-4.58984375,SELL
"20/20 Capital Management, Inc.",5/8/2020,Q1 2020,MSFT,,"1,549","8,435",8435,,BUY
"20/20 Capital Management, Inc.",5/8/2020,Q1 2020,VOX,,"1,218","13,839",-1108,-7.412858767645682,SELL
"20/20 Capital Management, Inc.",5/8/2020,Q1 2020,NFLX,,"1,063","2,434",2434,,BUY
"20/20 Capital Management, Inc.",5/8/2020,Q1 2020,PEP,,956,"7,269",-2021,-21.754574811625403,SELL
"20/20 Capital Management, Inc.",5/8/2020,Q1 2020,DIS,,927,"8,785",8785,,BUY
"20/20 Capital Management, Inc.",8/10/2020,Q2 2020,PEP,,956,"7,269",-7269,-100.0,SELL
"20/20 Capital Management, Inc.",8/10/2020,Q2 2020,AAPL,,"5,183","11,661",-597,-4.870288790993637,SELL
